Rank,Word_POS,Count
803,education_NOUN,3295
804,hundred_NOUN,3293
805,love_VERB,3288
806,los_PROPN,3288
807,freedom_NOUN,3285
808,chief_ADJ,3284
809,turkey_PROPN,3279
810,minister_NOUN,3271
811,need_NOUN,3269
812,control_VERB,3263
813,urge_VERB,3261
814,criticism_NOUN,3260
815,deal_VERB,3259
816,tom_PROPN,3255
817,safety_NOUN,3254
818,affect_VERB,3253
819,inside_ADP,3253
820,avoid_VERB,3252
821,caucus_PROPN,3252
822,airport_NOUN,3252
823,call_NOUN,3245
824,longer_ADV,3245
825,priority_NOUN,3241
826,land_NOUN,3240
827,hop_VERB,3229
828,politician_NOUN,3216
829,self_NOUN,3196
830,dead_ADJ,3196
831,series_NOUN,3195
832,board_NOUN,3195
833,question_VERB,3194
834,deputy_NOUN,3186
835,single_ADJ,3182
836,available_ADJ,3179
837,mccain_PROPN,3178
838,angeles_PROPN,3172
839,visit_VERB,3162
840,hospital_NOUN,3154
841,publicly_ADV,3152
842,additional_ADJ,3152
843,ability_NOUN,3142
844,region_NOUN,3142
845,certainly_ADV,3137
846,yes_INTJ,3136
847,violate_VERB,3123
848,experience_NOUN,3114
849,germany_PROPN,3112
850,scene_NOUN,3109
851,website_NOUN,3108
852,reserve_VERB,3104
853,mark_PROPN,3103
854,weekend_NOUN,3102
855,door_NOUN,3102
856,attention_NOUN,3100
857,launch_VERB,3098
858,page_NOUN,3095
859,director_PROPN,3093
860,acknowledge_VERB,3093
861,leader_PROPN,3091
862,ahead_ADV,3088
863,age_NOUN,3081
864,strike_VERB,3073
865,previously_ADV,3072
866,arrest_NOUN,3071
867,fill_VERB,3071
868,short_ADJ,3069
869,back_VERB,3068
870,terrorist_ADJ,3065
871,defense_PROPN,3063
872,settlement_NOUN,3063
873,credit_NOUN,3055
874,opponent_NOUN,3054
875,return_NOUN,3052
876,intend_VERB,3051
877,status_NOUN,3047
878,test_NOUN,3046
879,firm_NOUN,3045
880,save_VERB,3042
881,attempt_VERB,3042
882,vice_PROPN,3041
883,discussion_NOUN,3039
884,briefing_NOUN,3030
885,reality_NOUN,3019
886,battle_NOUN,3016
887,mind_NOUN,3011
888,replacement_NOUN,3011
889,engage_VERB,3001
890,services_PROPN,3001
891,democracy_NOUN,3000
892,homeland_PROPN,3000
893,district_PROPN,2999
894,protection_NOUN,2996
895,network_NOUN,2996
896,impose_VERB,2993
897,comment_VERB,2985
898,television_NOUN,2983
